Depth,Vs_mean
0.0,234.82754450000002
0.789474,226.26924524999998
1.666667,202.20356800000002
2.631579,210.7320205
3.684211,255.71386149999998
4.824562,315.43604300000004
6.052632,369.80451650000003
7.368421,430.36615099999995
8.77193,468.63558150000006
10.263158,512.4386770000001
11.842106,517.4250975
13.508772,530.9363605
15.263159,533.51370975
17.105265,535.0475162500001
19.03509,535.7292144999999
21.052634,535.84152425
23.157898,535.72528075
25.350882,535.67040725
27.631583,536.019206
34.736846,550.40737975
