X Y  Z
-1.30000000000000E+0001  1.20000000000000E+0001  6.92991629919705E-0001
-1.30000000000000E+0001  1.10783762096846E+0001  7.97874707602454E-0001
-1.30000000000000E+0001  1.01106712298535E+0001  9.35998767271378E-0001
-1.30000000000000E+0001  9.09458100103088E+0000  1.03823205817921E+0000
-1.30000000000000E+0001  8.02768626076708E+0000  1.08959010078867E+0000
-1.30000000000000E+0001  6.90744678349009E+0000  1.11156999359800E+0000
-1.30000000000000E+0001  5.73119533234925E+0000  1.12666080512098E+0000
-1.30000000000000E+0001  4.49613130865137E+0000  1.14542185653181E+0000
-1.30000000000000E+0001  3.19931408376860E+0000  1.16880713672102E+0000
-1.30000000000000E+0001  1.83765599764168E+0000  1.19430286631245E+0000
-1.30000000000000E+0001  4.07915007208423E-0001  1.22127409834876E+0000
-1.30000000000000E+0001 -1.09331303274650E+0000  1.25268064627884E+0000
-1.30000000000000E+0001 -2.66960247469917E+0000  1.29332314197262E+0000
-1.30000000000000E+0001 -4.32470638874947E+0000  1.34628168460517E+0000
-1.30000000000000E+0001 -6.06256549850229E+0000  1.41040262501784E+0000
-1.30000000000000E+0001 -7.88731756374275E+0000  1.48154658778077E+0000
-1.30000000000000E+0001 -9.80330723224523E+0000  1.55590268907893E+0000
-1.30000000000000E+0001 -1.18150963841728E+0001  1.63139989855066E+0000
-1.30000000000000E+0001 -1.39274749936968E+0001  1.70627937575812E+0000
-1.30000000000000E+0001 -1.61454725336970E+0001  1.77623104898276E+0000
-1.30000000000000E+0001 -1.84743699506972E+0001  1.83254405890467E+0000
-1.30000000000000E+0001 -2.09197122385474E+0001  1.86439046614583E+0000
-1.00000000000000E+0001  1.20000000000000E+0001  7.04161276379724E-0001
-1.00000000000000E+0001  1.10783762096846E+0001  8.08303977049064E-0001
-1.00000000000000E+0001  1.01106712298535E+0001  9.44260171418542E-0001
-1.00000000000000E+0001  9.09458100103088E+0000  1.04315550361279E+0000
-1.00000000000000E+0001  8.02768626076708E+0000  1.09135296231545E+0000
-1.00000000000000E+0001  6.90744678349009E+0000  1.11135198765271E+0000
-1.00000000000000E+0001  5.73119533234925E+0000  1.12558269325333E+0000
-1.00000000000000E+0001  4.49613130865137E+0000  1.14412475443652E+0000
-1.00000000000000E+0001  3.19931408376860E+0000  1.16755472912778E+0000
-1.00000000000000E+0001  1.83765599764168E+0000  1.19318669918969E+0000
-1.00000000000000E+0001  4.07915007208423E-0001  1.22031337561505E+0000
-1.00000000000000E+0001 -1.09331303274650E+0000  1.25186438134836E+0000
-1.00000000000000E+0001 -2.66960247469917E+0000  1.29262964490372E+0000
-1.00000000000000E+0001 -4.32470638874947E+0000  1.34568724532302E+0000
-1.00000000000000E+0001 -6.06256549850229E+0000  1.40988613954363E+0000
-1.00000000000000E+0001 -7.88731756374275E+0000  1.48109109263617E+0000
-1.00000000000000E+0001 -9.80330723224523E+0000  1.55549448429597E+0000
-1.00000000000000E+0001 -1.18150963841728E+0001  1.63102706971359E+0000
-1.00000000000000E+0001 -1.39274749936968E+0001  1.70593101761615E+0000
-1.00000000000000E+0001 -1.61454725336970E+0001  1.77589746702579E+0000
-1.00000000000000E+0001 -1.84743699506972E+0001  1.83221768858598E+0000
-1.00000000000000E+0001 -2.09197122385474E+0001  1.86406661078025E+0000
-7.50000000000000E+0000  1.20000000000000E+0001  7.26463156468708E-0001
-7.50000000000000E+0000  1.10783762096846E+0001  8.28842922693273E-0001
-7.50000000000000E+0000  1.01106712298535E+0001  9.60246178410808E-0001
-7.50000000000000E+0000  9.09458100103088E+0000  1.05248832580054E+0000
