Zona_Num	Linea_Num	Zona_Nombre	Linea	ID	Xo	X	Y	Z
1	1	Los Cuates	L1	1	0	473499.29	1846288.02	12
1	1	Los Cuates	L1	2	3	473499.17	1846290.6	12
1	1	Los Cuates	L1	3	6	473499.04	1846293.17	11.9
1	1	Los Cuates	L1	4	9	473498.92	1846295.75	11.8
1	1	Los Cuates	L1	5	12	473498.8	1846298.33	11.7
1	1	Los Cuates	L1	6	15	473498.68	1846300.9	11.5
1	1	Los Cuates	L1	7	18	473498.55	1846303.48	11.2
1	1	Los Cuates	L1	8	21	473498.43	1846306.06	11
1	1	Los Cuates	L1	9	24	473498.31	1846308.63	10.8
1	1	Los Cuates	L1	10	27	473498.19	1846311.21	10.7
1	1	Los Cuates	L1	11	30	473498.07	1846313.79	10.6
1	1	Los Cuates	L1	12	33	473497.94	1846316.36	10.5
1	1	Los Cuates	L1	13	36	473497.82	1846318.94	10.5
1	1	Los Cuates	L1	14	39	473496.93	1846322.21	10.5
1	1	Los Cuates	L1	15	42	473496.03	1846325.47	10.6
1	1	Los Cuates	L1	16	45	473495.14	1846328.74	10.6
1	1	Los Cuates	L1	17	48	473494.25	1846332.01	10.7
1	1	Los Cuates	L1	18	51	473493.35	1846335.28	10.8
1	1	Los Cuates	L1	19	54	473492.46	1846338.54	10.8
1	1	Los Cuates	L1	20	57	473491.56	1846341.81	10.9
1	1	Los Cuates	L1	21	60	473490.67	1846345.08	11
1	1	Los Cuates	L1	22	63	473489.78	1846348.35	11
1	1	Los Cuates	L1	23	66	473488.88	1846351.61	11
1	1	Los Cuates	L1	24	69	473487.99	1846354.88	11
1	2	Los Cuates	L2	1	0	473477.78	1846283.21	12
1	2	Los Cuates	L2	2	3	473477.74	1846286.1	12
1	2	Los Cuates	L2	3	6	473477.69	1846288.98	11.9
1	2	Los Cuates	L2	4	9	473477.65	1846291.87	11.8
1	2	Los Cuates	L2	5	12	473477.6	1846294.76	11.7
1	2	Los Cuates	L2	6	15	473477.55	1846297.65	11.5
1	2	Los Cuates	L2	7	18	473477.51	1846300.54	11.2
1	2	Los Cuates	L2	8	21	473477.47	1846303.42	11
1	2	Los Cuates	L2	9	24	473477.42	1846306.31	10.8
1	2	Los Cuates	L2	10	27	473477.38	1846309.2	10.7
1	2	Los Cuates	L2	11	30	473477.33	1846312.08	10.6
1	2	Los Cuates	L2	12	33	473477.28	1846314.97	10.5
1	2	Los Cuates	L2	13	36	473477.24	1846317.86	10.5
1	2	Los Cuates	L2	14	39	473476.71	1846321.06	10.5
1	2	Los Cuates	L2	15	42	473476.19	1846324.26	10.6
1	2	Los Cuates	L2	16	45	473475.66	1846327.46	10.6
1	2	Los Cuates	L2	17	48	473475.13	1846330.66	10.7
1	2	Los Cuates	L2	18	51	473474.61	1846333.86	10.8
1	2	Los Cuates	L2	19	54	473474.08	1846337.05	10.8
1	2	Los Cuates	L2	20	57	473473.56	1846340.25	10.9
1	2	Los Cuates	L2	21	60	473473.03	1846343.45	11
1	2	Los Cuates	L2	22	63	473472.5	1846346.65	11
1	2	Los Cuates	L2	23	66	473471.98	1846349.85	11
1	2	Los Cuates	L2	24	69	473471.45	1846353.05	11
2	3	Zoyatlan	L1	1	0	528405.82	1847660.73	142
2	3	Zoyatlan	L1	2	3	528404.23	1847657.74	142
2	3	Zoyatlan	L1	3	6	528402.63	1847654.76	141.9
2	3	Zoyatlan	L1	4	9	528401.04	1847651.77	141.8
2	3	Zoyatlan	L1	5	12	528399.44	1847648.79	141.6
2	3	Zoyatlan	L1	6	15	528397.85	1847645.8	141.4
2	3	Zoyatlan	L1	7	18	528396.25	1847642.82	141.2
2	3	Zoyatlan	L1	8	21	528394.66	1847639.83	141.1
2	3	Zoyatlan	L1	9	24	528393.06	1847636.85	141
2	3	Zoyatlan	L1	10	27	528391.47	1847633.86	141
2	3	Zoyatlan	L1	11	30	528389.87	1847630.88	141
2	3	Zoyatlan	L1	12	33	528388.28	1847627.89	141
2	3	Zoyatlan	L1	13	36	528386.5	1847625.07	141
2	3	Zoyatlan	L1	14	39	528384.72	1847622.24	140.8
2	3	Zoyatlan	L1	15	42	528382.94	1847619.42	140.6
2	3	Zoyatlan	L1	16	45	528381.15	1847616.6	140.3
2	3	Zoyatlan	L1	17	48	528379.37	1847613.78	140.1
2	3	Zoyatlan	L1	18	51	528377.59	1847610.96	140
2	3	Zoyatlan	L1	19	54	528375.81	1847608.13	140.1
2	3	Zoyatlan	L1	20	57	528374.03	1847605.31	140.3
2	3	Zoyatlan	L1	21	60	528372.24	1847602.49	140.5
2	3	Zoyatlan	L1	22	63	528370.46	1847599.67	140.8
2	3	Zoyatlan	L1	23	66	528368.68	1847596.84	141
2	3	Zoyatlan	L1	24	69	528366.9	1847594.02	141
2	4	Zoyatlan	L2	1	0	528396.09	1847663.99	142
2	4	Zoyatlan	L2	2	3	528394.36	1847661	142
2	4	Zoyatlan	L2	3	6	528392.63	1847658.02	141.9
2	4	Zoyatlan	L2	4	9	528390.89	1847655.03	141.8
2	4	Zoyatlan	L2	5	12	528389.16	1847652.04	141.6
2	4	Zoyatlan	L2	6	15	528387.43	1847649.05	141.4
2	4	Zoyatlan	L2	7	18	528385.7	1847646.07	141.2
2	4	Zoyatlan	L2	8	21	528383.97	1847643.08	141.1
2	4	Zoyatlan	L2	9	24	528382.24	1847640.09	141
2	4	Zoyatlan	L2	10	27	528380.5	1847637.1	141
2	4	Zoyatlan	L2	11	30	528378.77	1847634.12	141
2	4	Zoyatlan	L2	12	33	528377.04	1847631.13	141
2	4	Zoyatlan	L2	13	36	528375.24	1847628.52	141
2	4	Zoyatlan	L2	14	39	528373.44	1847625.9	140.8
2	4	Zoyatlan	L2	15	42	528371.64	1847623.29	140.6
2	4	Zoyatlan	L2	16	45	528369.83	1847620.68	140.3
2	4	Zoyatlan	L2	17	48	528368.03	1847618.06	140.1
2	4	Zoyatlan	L2	18	51	528366.23	1847615.45	140
2	4	Zoyatlan	L2	19	54	528364.43	1847612.84	140.1
2	4	Zoyatlan	L2	20	57	528362.63	1847610.22	140.3
2	4	Zoyatlan	L2	21	60	528360.82	1847607.61	140.5
2	4	Zoyatlan	L2	22	63	528359.02	1847605	140.8
2	4	Zoyatlan	L2	23	66	528357.22	1847602.38	141
2	4	Zoyatlan	L2	24	69	528355.42	1847599.77	141
3	5	El_Faisanal	L1	1	0	369099.78	1923608.85	745
3	5	El_Faisanal	L1	2	3	369096.99	1923609.5	744.9
3	5	El_Faisanal	L1	3	6	369094.2	1923610.15	744.7
3	5	El_Faisanal	L1	4	9	369091.41	1923610.8	744.2
3	5	El_Faisanal	L1	5	12	369088.62	1923611.45	743.5
3	5	El_Faisanal	L1	6	15	369085.83	1923612.1	742.5
3	5	El_Faisanal	L1	7	18	369083.04	1923612.75	741.5
3	5	El_Faisanal	L1	8	21	369080.25	1923613.4	740.6
3	5	El_Faisanal	L1	9	24	369077.46	1923614.05	739.9
3	5	El_Faisanal	L1	10	27	369074.67	1923614.7	739.4
3	5	El_Faisanal	L1	11	30	369071.88	1923615.35	739.1
3	5	El_Faisanal	L1	12	33	369069.09	1923616	739
3	5	El_Faisanal	L1	13	36	369066.3	1923616.65	739
3	5	El_Faisanal	L1	14	39	369063.13	1923616.71	739
3	5	El_Faisanal	L1	15	42	369059.97	1923616.76	738.9
3	5	El_Faisanal	L1	16	45	369056.8	1923616.82	738.6
3	5	El_Faisanal	L1	17	48	369053.63	1923616.88	738.1
3	5	El_Faisanal	L1	18	51	369050.46	1923616.93	737.3
3	5	El_Faisanal	L1	19	54	369047.3	1923616.99	736.4
3	5	El_Faisanal	L1	20	57	369044.13	1923617.04	735.5
3	5	El_Faisanal	L1	21	60	369040.96	1923617.1	734.8
3	5	El_Faisanal	L1	22	63	369037.79	1923617.16	734.3
3	5	El_Faisanal	L1	23	66	369034.63	1923617.21	734.1
3	5	El_Faisanal	L1	24	69	369031.46	1923617.27	734
3	6	El_Faisanal	L2	1	0	369053.06	1923572.91	735
3	6	El_Faisanal	L2	2	3	369050.24	1923572.35	734.9
3	6	El_Faisanal	L2	3	6	369047.42	1923571.79	734.6
3	6	El_Faisanal	L2	4	9	369044.61	1923571.23	734
3	6	El_Faisanal	L2	5	12	369041.79	1923570.67	733
3	6	El_Faisanal	L2	6	15	369038.97	1923570.11	731.8
3	6	El_Faisanal	L2	7	18	369036.16	1923569.55	730.5
3	6	El_Faisanal	L2	8	21	369033.34	1923569	729.2
3	6	El_Faisanal	L2	9	24	369030.52	1923568.44	728.2
3	6	El_Faisanal	L2	10	27	369027.7	1923567.88	727.6
3	6	El_Faisanal	L2	11	30	369024.89	1923567.32	727.2
3	6	El_Faisanal	L2	12	33	369022.07	1923566.76	727
3	6	El_Faisanal	L2	13	36	369019.25	1923566.2	727
3	6	El_Faisanal	L2	14	39	369016.19	1923565.65	727
3	6	El_Faisanal	L2	15	42	369013.14	1923565.11	726.9
3	6	El_Faisanal	L2	16	45	369010.08	1923564.56	726.7
3	6	El_Faisanal	L2	17	48	369007.02	1923564.01	726.2
3	6	El_Faisanal	L2	18	51	369003.97	1923563.47	725.4
3	6	El_Faisanal	L2	19	54	369000.91	1923562.92	724.5
3	6	El_Faisanal	L2	20	57	368997.86	1923562.38	723.6
3	6	El_Faisanal	L2	21	60	368994.8	1923561.83	722.9
3	6	El_Faisanal	L2	22	63	368991.74	1923561.28	722.3
3	6	El_Faisanal	L2	23	66	368988.69	1923560.74	722.1
3	6	El_Faisanal	L2	24	69	368985.63	1923560.19	722
3	7	El_Faisanal	L3	1	0	369025.1	1923587.24	728
3	7	El_Faisanal	L3	2	3	369022.39	1923586.35	727.9
3	7	El_Faisanal	L3	3	6	369019.67	1923585.46	727.6
3	7	El_Faisanal	L3	4	9	369016.95	1923584.57	727.1
3	7	El_Faisanal	L3	5	12	369014.24	1923583.68	726.2
3	7	El_Faisanal	L3	6	15	369011.53	1923582.79	725.2
3	7	El_Faisanal	L3	7	18	369008.81	1923581.9	724
3	7	El_Faisanal	L3	8	21	369006.09	1923581	722.9
3	7	El_Faisanal	L3	9	24	369003.38	1923580.11	722.1
3	7	El_Faisanal	L3	10	27	369000.67	1923579.22	721.5
3	7	El_Faisanal	L3	11	30	368997.95	1923578.33	721.2
3	7	El_Faisanal	L3	12	33	368995.23	1923577.44	721
3	7	El_Faisanal	L3	13	36	368992.52	1923576.55	721
3	7	El_Faisanal	L3	14	39	368989.57	1923575.52	721
3	7	El_Faisanal	L3	15	42	368986.61	1923574.49	720.9
3	7	El_Faisanal	L3	16	45	368983.66	1923573.47	720.6
3	7	El_Faisanal	L3	17	48	368980.7	1923572.44	720.1
3	7	El_Faisanal	L3	18	51	368977.75	1923571.41	719.4
3	7	El_Faisanal	L3	19	54	368974.79	1923570.38	718.5
3	7	El_Faisanal	L3	20	57	368971.84	1923569.35	717.6
3	7	El_Faisanal	L3	21	60	368968.88	1923568.32	716.8
3	7	El_Faisanal	L3	22	63	368965.93	1923567.3	716.3
3	7	El_Faisanal	L3	23	66	368962.97	1923566.27	716.1
3	7	El_Faisanal	L3	24	69	368960.02	1923565.24	716
3	8	El_Faisanal	L4	1	0	369020.52	1923607.36	730
3	8	El_Faisanal	L4	2	3	369017.7	1923607.29	729.9
3	8	El_Faisanal	L4	3	6	369014.89	1923607.23	729.7
3	8	El_Faisanal	L4	4	9	369012.07	1923607.16	729.3
3	8	El_Faisanal	L4	5	12	369009.25	1923607.09	728.7
3	8	El_Faisanal	L4	6	15	369006.43	1923607.03	727.9
3	8	El_Faisanal	L4	7	18	369003.61	1923606.96	727.1
3	8	El_Faisanal	L4	8	21	369000.8	1923606.89	726.3
3	8	El_Faisanal	L4	9	24	368997.98	1923606.83	725.7
3	8	El_Faisanal	L4	10	27	368995.16	1923606.76	725.3
3	8	El_Faisanal	L4	11	30	368992.35	1923606.69	725.1
3	8	El_Faisanal	L4	12	33	368989.53	1923606.63	725
3	8	El_Faisanal	L4	13	36	368986.71	1923606.56	725
3	8	El_Faisanal	L4	14	39	368983.54	1923606.66	725
3	8	El_Faisanal	L4	15	42	368980.36	1923606.77	724.9
3	8	El_Faisanal	L4	16	45	368977.19	1923606.87	724.6
3	8	El_Faisanal	L4	17	48	368974.02	1923606.97	724
3	8	El_Faisanal	L4	18	51	368970.84	1923607.07	723.3
3	8	El_Faisanal	L4	19	54	368967.67	1923607.18	722.4
3	8	El_Faisanal	L4	20	57	368964.49	1923607.28	721.5
3	8	El_Faisanal	L4	21	60	368961.32	1923607.38	720.8
3	8	El_Faisanal	L4	22	63	368958.15	1923607.48	720.3
3	8	El_Faisanal	L4	23	66	368954.97	1923607.59	720.1
3	8	El_Faisanal	L4	24	69	368951.8	1923607.69	720
4	9	Santa_Gertrudis	L1	1	0	404548.76	1908907.41	821
4	9	Santa_Gertrudis	L1	2	3	404551.01	1908905.45	821
4	9	Santa_Gertrudis	L1	3	6	404553.26	1908903.48	821.1
